!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
!,,,,,,,
! Revision 0.0  2012-09-17 Andre,,,,,,, 
! GB2 Initial version,,,,,,,
!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
# Addr,Name,Def/mask,SubDes,Des,,,
,,,,,,,
,,,,,,,
,,,,,,,
R30.0,Device Control 1 ,16'h0A00,,,,,
30.0.15,Manual Reset select,RW,0 = Hardware Sequencing; 1= Manual sequencing; ,"1= Manual Reset sequencing; 0 = Hardware Reset Sequencing (default). Pin reset RESETN leaves the gearbox device in a fully reset state.  Bringing the device into an operational state requires sequencing of SERDES reset signals.  Two sequencing methods are supported: Manual, and hardware sequenced.  This bit selects which method controls internal reset signals.  When Manual control is selected fields in register 30.44 control internal reset signals, otherwise bits in this register control them.",,,
30.0.14,Protocol Select,RW,0 = Ethernet; 1= OTU; ,Select OTU framing protocol for protocol lock State Machine.,,,
30.0.13,Ingress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,,,,
30.0.12,Egress Squelch enable,RW,0=normal operation; 1=disable Tx if source indicates LOL,,,,
30.0.11,Ingress Datapath Reset ,RW,,"This bit controls Ingress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Ingress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Ingress datapath using the hardware reset sequencer. This bit is set to a one by assertion of the RESETN pin.",,,
30.0.10,Ingress Reset seq done,R,,"1=Ingress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Ingress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive.",,,
30.0.9,Egress Datapath Reset ,RW,,"This bit controls Egress datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the Egress datapath of the gearbox.  De-asserting this bit causes a sequenced removal of reset from the Egress datapath using the hardware reset sequencer.  This bit is set to a one by assertion of the RESETN pin.",,,
30.0.8,Egress Reset seq done,R,,"1=Egress Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Egress hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive.",,,
30.0.7,MDIO init,RW,,"Writing a one to this bit locations sets all MDIO registers except registers 30.0 (this register) ,register 30.62 (lane power downs), registers 30.180-182 (refclk select and PLL trim), and register 8.7 (PMA type)  to their default states. This bit must be written to a zero again to release the reset.",,,
30.0.6,Ingress AZ complete,R,,Ingress Receiver auto-zero complete on all enabled lanes ,,,
30.0.5,Egress AZ complete,R,,Egress Receiver auto-zero complete on all enabled lanes ,,,
30.0.4,Shallow Host Loopback,RW,0=disable; 1=enable,Shallow Host loopback enable : 0 = normal mode; 1= loopback received 10G Host data to 10g Host data transmitter via the FIFOs. Data is returned bit for bit with no intervening VL muxing. This function affects all lanes in parallel.,,,
30.0.3:1,Reserved,R,,,,,
30.0.0,Diagnostic override,RW,0=disable; 1=enable,1= Device diagnostic registers 30.16:29 over-ride PMA/MMD8 register controls. 0= Device is controlled by PMA/MMD8 registers. Default is zero.,,,
R30.2,Device Identifier Lo ,16'h0210,,,,,
30.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI,,,
R30.3,Device Identifier Hi ,16'h7420,,,,,
30.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI,,,
30.3.9:4,Model Number,R,,Gearbox model number ,,,
30.3.3:0,Revision Code,R,,Gearbox revision number ,,,
R30.5,Devices in Package Lo ,16'h0100,,,,,
30.5.15:0,Devices Lo,R,,Separated PMA (1) present in package,,,
R30.6,Devices in Package Hi,16'h4000,,,,,
30.6.15:0,Devices Hi,R,,Vendor Specific Device 1 present in package,,,
R30.8, MMD30 Status  ,16'h8000,,,,,
30.8.15:14,status,R,,"Read as 2'b10, writes ignored : Indicates device responding at this address",,,
30.8.13:0,Reserved,R,,,,,
,,,,,,,
R30.16,Optical Lane 0 Pattern Control,16'h0000,,,,,
30.16.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.16.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.16.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.16.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.16.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.16.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.16.7,Reserved,R,,,,,
30.16.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.16.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.16.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
