!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
,,,,
,,,,
R30.60,Monitor Clock Select,16'h000F,,
30.60.15:6,Reserved,R,,
30.60.5,Divide Select,RW,0=full-rate;1=half-rate,Monitor clock divide ratio
30.60.4,Direction select,RW,0=Ingress;1=Egress,Select Optical lane direction to monitor 
30.60.3:0,Lane select,RW,0000=lane 0; 0001=lane 1; 0010=lane 2; 0011=lane 3; 0100=lane 4; 0101=lane 5; 0110=lane 6; 0111=lane 7; 1000=lane 8; 1001=lane 9; 1111=disabled;,"Select Optical Lane to monitor : 0-9 : Select numbered lane; A-E : Reserved; F :Monitor Clock Disabled (Default). Note only lane 2 can be monitored on Egress. Selecting anything other than lane 2 will not produce a valid clock.
"
,,,,
,,,,
R30.180,Refclk Select,16'h0000,,
30.180.15:3,Reserved,R,,
30.180.2:0,Sys Refclk Divide ratio,RW,000= 1/10 (Ethernet reference of 644.5312MHz) (default); 001= 1/20 (Ethernet reference of 322.2656MHz); 010= 1/40 (Ethernet reference of 161.1328MHz); 100= 1/10.3125 (Ethernet reference of 625MHz); 101= 1/20.625 (Ethernet reference of 312.5MHz); 110= 1/41.25 (Ethernet reference of 156.25MHz);,Configure PLL divide ratio for supplied system reference clock frequency. Note this field is not reset to its default by MDIO_INIT.
,,,,
R30.181,PLL Sysclk Trim,16'h6262,,
30.181.15:8,25G Sysclk  trim,RW,,This byte is used to trim the PLL LCO amplitude and charge pump current of PLLs providing 25G clocks from the system reference clock. Note this field is not reset to its default by MDIO_INIT.
30.181.7:0,10G Sysclk  trim,RW,,This byte is used to trim the PLL LCO amplitude and charge pump current of PLLs providing 10G clocks from the system reference clock. Note this field is not reset to its default by MDIO_INIT.
,,,,
R30.182,PLL Wdclk Trim,16'h6262,,
30.182.15:8,25G Wdclk  trim,RW,,This byte is used to trim the PLL LCO amplitude and charge pump current of PLLs providing 25G clocks from the received (25G)  reference clock. Note this field is not reset to its default by MDIO_INIT.
30.182.7:0,10G Wdclk  trim,RW,,This byte is used to trim the PLL LCO amplitude and charge pump current of PLLs providing 10G clocks from the received (25G)  reference clock. Note this field is not reset to its default by MDIO_INIT.
,,,,
R30.192,Egress Rx PLL Config 1,16'h0000,,
30.192.15,Recalib,RW,0=disable; 1=enable,Force recalibration of PLL without reset. Active on rising edge
30.192.14:13,Cal step,RW, 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period,Calibration step duration : 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period
30.192.12:10,Reserved,R,,
30.192.9,Force Cal bus ,RW,0=disable; 1=enable,0=normal operation; 1=over-ride internal calibration bus value with value from bits 11:7
30.192.8:3,Cal bus force value (Coarse),RW,,Coarse Calibration bus value to force : 000000=lowest frequency range (maximum capacitance); 111111=highest frequency range (minimum capacitance);
30.192.2:0,Cal bus force value (Fine),RW,,Fine Calibration bus value to force : 000=lowest frequency range (maximum capacitance); 111=highest frequency range (minimum capacitance);
,,,,
R30.195,Egress Tx PLL Config 1,16'h0000,,
30.195.15,Recalib,RW,0=disable; 1=enable,Force recalibration of PLL without reset. Active on rising edge
30.195.14:13,Cal step,RW, 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period,Calibration step duration : 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period
30.195.12:10,Reserved,R,,
30.195.9,Force Cal bus ,RW,0=disable; 1=enable,0=normal operation; 1=over-ride internal calibration bus value with value from bits 11:7
30.195.8:3,Cal bus force value (Coarse),RW,,Coarse Calibration bus value to force : 000000=lowest frequency range (maximum capacitance); 111111=highest frequency range (minimum capacitance);
30.195.2:0,Cal bus force value (Fine),RW,,Fine Calibration bus value to force : 000=lowest frequency range (maximum capacitance); 111=highest frequency range (minimum capacitance);
,,,,
R30.198,Ingress Rx PLL Config 1,16'h0000,,
30.198.15,Recalib,RW,0=disable; 1=enable,Force recalibration of PLL without reset. Active on rising edge
30.198.14:13,Cal step,RW, 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period,Calibration step duration : 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period
30.198.12:10,Reserved,R,,
