!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre,,,,
! GB2 Optical Subset,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.2,PMA Device Identifier Lo ,16'h0210,,
8.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R8.3,PMA Device Identifier Hi ,16'h7420,,
8.3.15:10,OUI 19-20,R,,19th through 24th bits of Inphi OUI
8.3.9:4,Model Number,R,,Gearbox model number 
8.3.3:0,Revision Code,R,,Gearbox revision number 
,,,,
R8.1700,PRBS Rx0 Error Counter,16'h0000,,
8.1700.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1701,PRBS Rx1 Error Counter,16'h0000,,
8.1701.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1702,PRBS Rx2 Error Counter,16'h0000,,
8.1702.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1703,PRBS Rx3 Error Counter,16'h0000,,
8.1703.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1704,PRBS Rx4 Error Counter,16'h0000,,
8.1704.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1705,PRBS Rx5 Error Counter,16'h0000,,
8.1705.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1706,PRBS Rx6 Error Counter,16'h0000,,
8.1706.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1707,PRBS Rx7 Error Counter,16'h0000,,
8.1707.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1708,PRBS Rx8 Error Counter,16'h0000,,
8.1708.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
R8.1709,PRBS Rx9 Error Counter,16'h0000,,
8.1709.15:0,Error Count,RC,,"Number of PRBS errors detected on Lane. Saturates at 16'hFFFF, does not roll-over to zero. Clear on Read."
,,,,
,,,,
R30.16,Optical Lane 0 Pattern Control,16'h0000,,
30.16.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.16.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. 
30.16.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation
30.16.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.16.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.16.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;
