!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
R30.8321,Host Rx Lane 0 1st Order CDR Ctl,16'h0402,,
30.8321.15:11,Reserved,R,,
30.8321.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8321.7,Reserved,R,,
30.8321.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.8577,Host Rx Lane 1 1st Order CDR Ctl,16'h0402,,
30.8577.15:11,Reserved,R,,
30.8577.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8577.7,Reserved,R,,
30.8577.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.8833,Host Rx Lane 2 1st Order CDR Ctl,16'h0402,,
30.8833.15:11,Reserved,R,,
30.8833.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8833.7,Reserved,R,,
30.8833.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9089,Host Rx Lane 3 1st Order CDR Ctl,16'h0402,,
30.9089.15:11,Reserved,R,,
30.9089.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9089.7,Reserved,R,,
30.9089.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9345,Host Rx Lane 4 1st Order CDR Ctl,16'h0402,,
30.9345.15:11,Reserved,R,,
30.9345.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9345.7,Reserved,R,,
30.9345.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9601,Host Rx Lane 5 1st Order CDR Ctl,16'h0402,,
30.9601.15:11,Reserved,R,,
30.9601.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9601.7,Reserved,R,,
30.9601.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9857,Host Rx Lane 6 1st Order CDR Ctl,16'h0402,,
30.9857.15:11,Reserved,R,,
30.9857.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9857.7,Reserved,R,,
30.9857.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10113,Host Rx Lane 7 1st Order CDR Ctl,16'h0402,,
30.10113.15:11,Reserved,R,,
30.10113.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10113.7,Reserved,R,,
30.10113.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10369,Host Rx Lane 8 1st Order CDR Ctl,16'h0402,,
30.10369.15:11,Reserved,R,,
30.10369.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10369.7,Reserved,R,,
30.10369.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10625,Host Rx Lane 9 1st Order CDR Ctl,16'h0402,,
30.10625.15:11,Reserved,R,,
30.10625.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10625.7,Reserved,R,,
30.10625.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
,,,,
,,,,
R30.8322,Host Rx Lane 0 2nd Order CDR Ctl,16'h0402,,
30.8322.15:11,Reserved,R,,
30.8322.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.8322.7:1,Reserved,R,,
30.8322.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.8578,Host Rx Lane 1 2nd Order CDR Ctl,16'h0402,,
30.8578.15:11,Reserved,R,,
30.8578.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.8578.7:1,Reserved,R,,
30.8578.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.8834,Host Rx Lane 2 2nd Order CDR Ctl,16'h0402,,
30.8834.15:11,Reserved,R,,
30.8834.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.8834.7:1,Reserved,R,,
30.8834.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.9090,Host Rx Lane 3 2nd Order CDR Ctl,16'h0402,,
30.9090.15:11,Reserved,R,,
30.9090.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.9090.7:1,Reserved,R,,
30.9090.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.9346,Host Rx Lane 4 2nd Order CDR Ctl,16'h0402,,
30.9346.15:11,Reserved,R,,
30.9346.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.9346.7:1,Reserved,R,,
30.9346.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.9602,Host Rx Lane 5 2nd Order CDR Ctl,16'h0402,,
30.9602.15:11,Reserved,R,,
