!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
,,,,
R30.4272,Optical Rx Lane 0 Sense Amp offset ctl 1,16'h0000,,
30.4272.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4272.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4528,Optical Rx Lane 1 Sense Amp offset ctl 1,16'h0000,,
30.4528.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4528.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.4784,Optical Rx Lane 2 Sense Amp offset ctl 1,16'h0000,,
30.4784.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.4784.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5040,Optical Rx Lane 3 Sense Amp offset ctl 1,16'h0000,,
30.5040.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5040.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5296,Optical Rx Lane 4 Sense Amp offset ctl 1,16'h0000,,
30.5296.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5296.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5552,Optical Rx Lane 5 Sense Amp offset ctl 1,16'h0000,,
30.5552.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.5552.4:0,Offset,RW,,"The current value of the sense amp offset value can be written via this register subject to the following restriction below. The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register. Sense amp offset control register bits can be read at any time. Although not essential, the user may wish to ensure that any outstanding autozero process has completed by polling the autozero complete bit: bit[2] in address 00h prior to reading offset values via these registers. In order to have the value written to these registers overwrite the sense amp offset values, bit[0] in the RX Sense Amp Offset Control Register 9 must first be asserted in a previous write cycle. "
,,,,
R30.5808,Optical Rx Lane 6 Sense Amp offset ctl 1,16'h0000,,
30.5808.15:5,Adapted Offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
