!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
R30.3840,eFuse Control,16'h2000,,
30.3840.15,program,RW,,"Toggling this bit from a zero to a one state causes the eFuse register bit addressed by 30.3840.9:0 to be programmed to a one value. During programming 'done' (30.3840.13) will be de-asserted. Programming will not occur if the efuse is in its power-down state (30.3841.15=0), or if 'done' (30.3840.13) is not asserted."
30.3840.14,fetch,RW,,"Toggling this bit from a zero to a one state causes the eFuse contents to be fetched and loaded into registers 30.1408 to 30.1420. Fetching will not occur if the efuse is in its power-down state (30.3841.15=0), or if 'done' (30.3840.13) is not asserted. Registers 30.1409 to 30.1440 will not be fetched if the content of the eFuse byte 0 (30.1408) is zero - ie if the eFuse has not been programmed."
30.3840.13,done,R,,eFuse actions complete. 0=eFuse program or fetch operations are in progress.
30.3840.12,read,RW,,"Toggling this bit from a zero to a one state causes the eFuse 16bit word addressed by 30.3840.7:1 to be read and loaded into register 30.3842. Reading will not occur if the efuse is in its power-down state (30.3841.15=0), or if 'done' (30.3840.13) is not asserted."
30.3840.11,Reserved,R,,
30.3840.10:8, bit address,RW,,This field indicates which eFuse bit (of a byte) to set to a one in a program operation.
30.3840.7:0,byte address,RW,,This field indicates which eFuse byte to program in a program operation.
,,,,
R30.3841,eFuse Power-up,16'h0000,,
30.3841.15,Power-up,RW,0=powerdn;1=power up,This bit controls the power state of the eFuse arrays after reset : 0 (default) = arrays are powered down; 1 = arrays are powered up; This bit must be set to a one in order to program or fetch the contents of the eFuse arrays.
30.3841.14:00,Reserved,R,,
R30.3842,efuse read value,16'h0000,,
30.3842.15:0,read value,RW,, This register contains the 16bit data value read from the eFuse by a “Read” command.
,,,,
R30.3968,eFuse Control Byte,16'h0000,,
30.3968.15:8,Device serial number [15:8],R,,2nd byte of device serial number
30.3968.7:0,eFuse Control Byte,R,,"First (LS) byte of device serial number. If this byte is fetched as zero, no other bytes will be fetched (eFuse is unprogrammed)"
R30.3969,Device serial number,16'h0000,,
30.3969.15:0,Device serial number [31:16],R,,MS bytes of device serial number
R30.3970,Misc trim Optical Serdes 0,16'h0000,,
30.3970.15:0,misc_trim_o[15:0],R,,
R30.3971,Misc trim Optical Serdes 1,16'h0000,,
30.3971.15:0,misc_trim_o[31:16],R,,
R30.3972,Misc trim Optical Serdes 2,16'h0000,,
30.3972.15:0,misc_trim_o[47:32],R,,
R30.3973,Misc trim Host Serdes 0,16'h0000,,
30.3973.15:0,misc_trim_h[15:0],R,,
R30.3974,Misc trim Host Serdes 1,16'h0000,,
30.3974.15:0,misc_trim_h[31:16],R,,
R30.3975,Misc trim Host Serdes 2,16'h0000,,
30.3975.15:0,misc_trim_h[47:32],R,,
,,,,
R30.3976,Optical Tx  Lane 0 trim 0,16'h0000,,
30.3976.15:0,s25et0_trim[15:0],R,,
R30.3977,Optical Tx  Lane 0 trim 1,16'h0000,,
30.3977.15:0,s25et0_trim[31:16],R,,
R30.3978,Optical Tx  Lane 0 trim 2,16'h0000,,
30.3978.15:0,s25et0_trim[47:32],R,,
R30.3979,Optical Rx  Lane 0 trim 0,16'h0000,,
30.3979.15:0,s25ir0_trim[15:0],R,,
R30.3980,Optical Rx  Lane 0 trim 1,16'h0000,,
30.3980.15:0,s25ir0_trim[31:16],R,,
R30.3981,Optical Rx  Lane 0 trim 2,16'h0000,,
30.3981.15:0,s25ir0_trim[47:32],R,,
R30.3982,Optical Tx  Lane 1 trim 0,16'h0000,,
30.3982.15:0,s25et1_trim[15:0],R,,
R30.3983,Optical Tx  Lane 1 trim 1,16'h0000,,
30.3983.15:0,s25et1_trim[31:16],R,,
R30.3984,Optical Tx  Lane 1 trim 2,16'h0000,,
30.3984.15:0,s25et1_trim[47:32],R,,
R30.3985,Optical Rx  Lane 1 trim 0,16'h0000,,
30.3985.15:0,s25ir1_trim[15:0],R,,
R30.3986,Optical Rx  Lane 1 trim 1,16'h0000,,
30.3986.15:0,s25ir1_trim[31:16],R,,
R30.3987,Optical Rx  Lane 1 trim 2,16'h0000,,
30.3987.15:0,s25ir1_trim[47:32],R,,
R30.3988,Optical Tx  Lane 2 trim 0,16'h0000,,
30.3988.15:0,s25et2_trim[15:0],R,,
R30.3989,Optical Tx  Lane 2 trim 1,16'h0000,,
30.3989.15:0,s25et2_trim[31:16],R,,
R30.3990,Optical Tx  Lane 2 trim 2,16'h0000,,
30.3990.15:0,s25et2_trim[47:32],R,,
R30.3991,Optical Rx  Lane 2 trim 0,16'h0000,,
30.3991.15:0,s25ir2_trim[15:0],R,,
R30.3992,Optical Rx  Lane 2 trim 1,16'h0000,,
30.3992.15:0,s25ir2_trim[31:16],R,,
R30.3993,Optical Rx  Lane 2 trim 2,16'h0000,,
30.3993.15:0,s25ir2_trim[47:32],R,,
R30.3994,Optical Tx  Lane 3 trim 0,16'h0000,,
30.3994.15:0,s25et3_trim[15:0],R,,
R30.3995,Optical Tx  Lane 3 trim 1,16'h0000,,
30.3995.15:0,s25et3_trim[31:16],R,,
R30.3996,Optical Tx  Lane 3 trim 2,16'h0000,,
30.3996.15:0,s25et3_trim[47:32],R,,
R30.3997,Optical Rx  Lane 3 trim 0,16'h0000,,
30.3997.15:0,s25ir3_trim[15:0],R,,
R30.3998,Optical Rx  Lane 3 trim 1,16'h0000,,
30.3998.15:0,s25ir3_trim[31:16],R,,
R30.3999,Optical Rx  Lane 3 trim 2,16'h0000,,
30.3999.15:0,s25ir3_trim[47:32],R,,
R30.4000,Optical Tx  Lane 4 trim 0,16'h0000,,
30.4000.15:0,s10et4_trim[15:0],R,,
R30.4001,Optical Tx  Lane 4 trim 1,16'h0000,,
30.4001.15:0,s10et4_trim[31:16],R,,
R30.4002,Optical Tx  Lane 4 trim 2,16'h0000,,
30.4002.15:0,s10et4_trim[47:32],R,,
R30.4003,Optical Rx  Lane 4 trim 0,16'h0000,,
30.4003.15:0,s10ir4_trim[15:0],R,,
R30.4004,Optical Rx  Lane 4 trim 1,16'h0000,,
30.4004.15:0,s10ir4_trim[31:16],R,,
R30.4005,Optical Rx  Lane 4 trim 2,16'h0000,,
30.4005.15:0,s10ir4_trim[47:32],R,,
R30.4006,Optical Tx  Lane 5 trim 0,16'h0000,,
30.4006.15:0,s10et5_trim[15:0],R,,
R30.4007,Optical Tx  Lane 5 trim 1,16'h0000,,
30.4007.15:0,s10et5_trim[31:16],R,,
R30.4008,Optical Tx  Lane 5 trim 2,16'h0000,,
30.4008.15:0,s10et5_trim[47:32],R,,
R30.4009,Optical Rx  Lane 5 trim 0,16'h0000,,
30.4009.15:0,s10ir5_trim[15:0],R,,
R30.4010,Optical Rx  Lane 5 trim 1,16'h0000,,
30.4010.15:0,s10ir5_trim[31:16],R,,
R30.4011,Optical Rx  Lane 5 trim 2,16'h0000,,
30.4011.15:0,s10ir5_trim[47:32],R,,
R30.4012,Optical Tx  Lane 6 trim 0,16'h0000,,
30.4012.15:0,s10et6_trim[15:0],R,,
R30.4013,Optical Tx  Lane 6 trim 1,16'h0000,,
30.4013.15:0,s10et6_trim[31:16],R,,
R30.4014,Optical Tx  Lane 6 trim 2,16'h0000,,
30.4014.15:0,s10et6_trim[47:32],R,,
R30.4015,Optical Rx  Lane 6 trim 0,16'h0000,,
30.4015.15:0,s10ir6_trim[15:0],R,,
R30.4016,Optical Rx  Lane 6 trim 1,16'h0000,,
30.4016.15:0,s10ir6_trim[31:16],R,,
R30.4017,Optical Rx  Lane 6 trim 2,16'h0000,,
30.4017.15:0,s10ir6_trim[47:32],R,,
R30.4018,Optical Tx  Lane 7 trim 0,16'h0000,,
30.4018.15:0,s10et7_trim[15:0],R,,
R30.4019,Optical Tx  Lane 7 trim 1,16'h0000,,
30.4019.15:0,s10et7_trim[31:16],R,,
R30.4020,Optical Tx  Lane 7 trim 2,16'h0000,,
30.4020.15:0,s10et7_trim[47:32],R,,
R30.4021,Optical Rx  Lane 7 trim 0,16'h0000,,
30.4021.15:0,s10ir7_trim[15:0],R,,
R30.4022,Optical Rx  Lane 7 trim 1,16'h0000,,
30.4022.15:0,s10ir7_trim[31:16],R,,
R30.4023,Optical Rx  Lane 7 trim 2,16'h0000,,
30.4023.15:0,s10ir7_trim[47:32],R,,
R30.4024,Optical Tx  Lane 8 trim 0,16'h0000,,
30.4024.15:0,s10et8_trim[15:0],R,,
R30.4025,Optical Tx  Lane 8 trim 1,16'h0000,,
30.4025.15:0,s10et8_trim[31:16],R,,
R30.4026,Optical Tx  Lane 8 trim 2,16'h0000,,
30.4026.15:0,s10et8_trim[47:32],R,,
R30.4027,Optical Rx  Lane 8 trim 0,16'h0000,,
30.4027.15:0,s10ir8_trim[15:0],R,,
R30.4028,Optical Rx  Lane 8 trim 1,16'h0000,,
30.4028.15:0,s10ir8_trim[31:16],R,,
R30.4029,Optical Rx  Lane 8 trim 2,16'h0000,,
30.4029.15:0,s10ir8_trim[47:32],R,,
R30.4030,Optical Tx  Lane 9 trim 0,16'h0000,,
30.4030.15:0,s10et9_trim[15:0],R,,
R30.4031,Optical Tx  Lane 9 trim 1,16'h0000,,
30.4031.15:0,s10et9_trim[31:16],R,,
R30.4032,Optical Tx  Lane 9 trim 2,16'h0000,,
30.4032.15:0,s10et9_trim[47:32],R,,
R30.4033,Optical Rx  Lane 9 trim 0,16'h0000,,
30.4033.15:0,s10ir9_trim[15:0],R,,
R30.4034,Optical Rx  Lane 9 trim 1,16'h0000,,
30.4034.15:0,s10ir9_trim[31:16],R,,
R30.4035,Optical Rx  Lane 9 trim 2,16'h0000,,
30.4035.15:0,s10ir9_trim[47:32],R,,
,,,,
R30.4036,Host Tx  Lane 0 trim 0,16'h0000,,
30.4036.15:0,s10it0_trim[15:0],R,,
R30.4037,Host Tx  Lane 0 trim 1,16'h0000,,
30.4037.15:0,s10it0_trim[31:16],R,,
R30.4038,Host Tx  Lane 0 trim 2,16'h0000,,
30.4038.15:0,s10it0_trim[47:32],R,,
R30.4039,Host Rx  Lane 0 trim 0,16'h0000,,
30.4039.15:0,s10er0_trim[15:0],R,,
R30.4040,Host Rx  Lane 0 trim 1,16'h0000,,
30.4040.15:0,s10er0_trim[31:16],R,,
R30.4041,Host Rx  Lane 0 trim 2,16'h0000,,
30.4041.15:0,s10er0_trim[47:32],R,,
R30.4042,Host Tx  Lane 1 trim 0,16'h0000,,
30.4042.15:0,s10it1_trim[15:0],R,,
R30.4043,Host Tx  Lane 1 trim 1,16'h0000,,
30.4043.15:0,s10it1_trim[31:16],R,,
R30.4044,Host Tx  Lane 1 trim 2,16'h0000,,
30.4044.15:0,s10it1_trim[47:32],R,,
R30.4045,Host Rx  Lane 1 trim 0,16'h0000,,
30.4045.15:0,s10er1_trim[15:0],R,,
R30.4046,Host Rx  Lane 1 trim 1,16'h0000,,
30.4046.15:0,s10er1_trim[31:16],R,,
R30.4047,Host Rx  Lane 1 trim 2,16'h0000,,
30.4047.15:0,s10er1_trim[47:32],R,,
R30.4048,Host Tx  Lane 2 trim 0,16'h0000,,
30.4048.15:0,s10it2_trim[15:0],R,,
R30.4049,Host Tx  Lane 2 trim 1,16'h0000,,
30.4049.15:0,s10it2_trim[31:16],R,,
R30.4050,Host Tx  Lane 2 trim 2,16'h0000,,
30.4050.15:0,s10it2_trim[47:32],R,,
R30.4051,Host Rx  Lane 2 trim 0,16'h0000,,
30.4051.15:0,s10er2_trim[15:0],R,,
R30.4052,Host Rx  Lane 2 trim 1,16'h0000,,
30.4052.15:0,s10er2_trim[31:16],R,,
R30.4053,Host Rx  Lane 2 trim 2,16'h0000,,
30.4053.15:0,s10er2_trim[47:32],R,,
R30.4054,Host Tx  Lane 3 trim 0,16'h0000,,
30.4054.15:0,s10it3_trim[15:0],R,,
R30.4055,Host Tx  Lane 3 trim 1,16'h0000,,
30.4055.15:0,s10it3_trim[31:16],R,,
R30.4056,Host Tx  Lane 3 trim 2,16'h0000,,
30.4056.15:0,s10it3_trim[47:32],R,,
R30.4057,Host Rx  Lane 3 trim 0,16'h0000,,
30.4057.15:0,s10er3_trim[15:0],R,,
R30.4058,Host Rx  Lane 3 trim 1,16'h0000,,
30.4058.15:0,s10er3_trim[31:16],R,,
R30.4059,Host Rx  Lane 3 trim 2,16'h0000,,
30.4059.15:0,s10er3_trim[47:32],R,,
R30.4060,Host Tx  Lane 4 trim 0,16'h0000,,
