! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/case_1285613542/#alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v 1.1 2012-06-20 11:26:14-07 case Exp $,,,
"! From: iphy/sos/repository/iphy_A.rep/TEMP/rbemra_1274230893/validation#python#iCDR100_internal_MDIO_1v1_flat.csv, v 1.6 2011-07-29 10:44:59-07 rbemra Exp $ ! Revision 1.6  2011-07-29 10:44:59-07  rbemra",,,,
! $Log: #alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v $
! Revision 1.1  2012-06-20 11:26:14-07  case
! Inital release -- not checked
!,,,
! Revision 1.4  2012-04-12 14:24:40-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:58-07  case,,,,
! defined CYA bit function correctly this time!,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:20-07  case,,,,
! defined CYA bit function,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:15-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.4  2011-12-01 14:23:17-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.3  2011-09-29 13:32:42-07  case,,,,
! Changed 30.0.7 to reserved, 30.0.12 to MDIO init per Andre,,,
!,,,,
! Revision 1.2  2011-08-23 12:09:19-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.6  2011-07-29 10:44:59-07  rbemra,,,,
! Same as rev4, fixed header/SOS_kwds,,,
!,,,,
! Revision 1.4  2011-07-29 09:24:11-07  case,,,,
! Corrected Rx and Tx PLL Voltage regulator descriptions,,,,
! Revision 1.3  2011-07-28 15:06:11-07  rbemra,,,,
! Several updates (iPHY team) for iCDR100 first samples,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# RegAddr,RegName,DefVal/Mask,ValueDes,Description
R30.0,Device Control 1 ,16'h0000,,
30.0.15,Manual Reset select,RW,0 = Hardware Sequencing; 1= Manual sequencing; ,"1= Manual Reset sequencing; 0 = Hardware Reset Sequencing (default). Pin reset RESETN leaves the gearbox device in a fully reset state.  Bringing the device into an operational state requires sequencing of SERDES reset signals.  Two sequencing methods are supported: Manual, and hardware sequenced.  This bit selects which method controls internal reset signals.  When Manual control is selected fields in register 30.44 control internal reset signals, otherwise bits in this register control them."
30.0.14,Protocol Select,RW,0 = Ethernet; 1= OTU4; ,Select OTU4 framing protocol for protocol lock State Machine.
30.0.13,Reserved,R,,
30.0.12,MDIO init,RW,,Writing a 1 to this bit locations sets all MDIO registers except register 30.0 (this register) to their default states. This bit must be cleared in order to write to any other mdio registers.
30.0.11:10,Reserved,R,,
30.0.9,Software Reset ,RW,,"This bit controls datapath reset signals, if hardware reset sequencing is selected (30.0.15=0). Asserting this bit resets the datapath of the device  De-asserting this bit causes a sequenced removal of reset from the  datapath using the hardware reset sequencer.  This bit is set to a zero by assertion of the RESETN pin."
30.0.8,Reset seq done,R,,"1=Tx Datapath Reset Sequencer Inactive.  This bit is de-asserted whilst the Tx hardware reset sequencer is in operation.  This bit is asserted when the hardware reset sequencer finishes operations, or is inactive."
30.0.7:6,Reserved,R,,
30.0.5,Hard Reset,RW,0=unreset; 1=reset,"Asserting  this register bit has the same effect as a pin power-on-reset (except it does not reset the MDIO controller or registers). On de-assertion of this bit device operation will follow the normal Power-on-reset sequence dependant on the state of 30.0.10 (the Software reset request bit), and 30.0.15 (manual reset select bit). These bits are not affected by assertion of this bit and will retain their previous state. Note that, as in a normal power-on-reset sequence, the eFuse trim bits will be fetched from the eFuse array on de-assertion of hard reset."
30.0.4,Low Power,RW,0=normal; 1=low power,Setting this bit places the device into an ultra-low power state. All non-MDIO digital circuitry is reset and all analog circuitry placed into its IDDQ state. Asserting this bit has the same effect as asserting the following MMD30 bits : 30.44.4:2. Setting this bit will forcibly set the Hard Reset bit (30.0.5).
30.0.3:0,Reserved,R,,
R30.2,Device Identifier Lo ,16'h0210,,
30.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R30.3,Device Identifier Hi ,16'h7401,,
