! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $,,,
! Revision 1.4  2012-06-26 16:17:18-07  lli,,,,
! CHanged eror checker names from Tx to Rx,,,,
!,,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
8.0.15,Reset,RW,0=normal; 1=reset;,"Asserting this register bit has the same effect as a pin power-on-reset (except it does not reset the MDIO controller or registers).  On de-assertion of this bit device operation will follow the normal power-on-reset sequence dependant on the state of 8.0.15 (MMD8 reset bit), 30.0.11 & 30.0.9 (the Rx and Tx datapath reset request bits), and 30.0.15 (manual reset select bit).  These bits are not affected by assertion of this bit and will retain their previous state.  Note that, as in a normal power-on-reset sequence, the eFuse trim bits will be fetched from the eFuse array on de-assertion of reset"
8.0.14,Reserved,R,,
8.0.13,Speed selection (LSB),R,,"Read as one, writes ignored: 8.06::8.013 == 2'b11  indicate that bits 5:2 control speed select"
8.0.12,Reserved,R,,
8.0.11,Low Power,RW,," Setting this bit places the device into an ultra-low power state.  All non-MDIO digital circuitry is reset and all analog circuitry placed into its IDDQ state. Asserting this bit has the same effect as asserting the following MMD30 bits: 8.0.15, 30.44.4:2, 30.1537.15,  30.1537.9:0, 30.1538.9:0, and de-asserting 30.1281.15.  Setting this bit will forcibly set the Reset bit (8.0.15).  To exit the low power state this bit should be cleared, followed by the Reset bit (8.0.15) using separate MDIO writes to provide adequate delay.  See Note 1 (above) on the operation of the reset bit (8.0.15)."
8.0.10:7,Reserved,R,,
8.0.6,Speed selection (MSB),R,,"Read as one, writes ignored: 8.06::8.013 == 2'b11 indicate that bits 5:2 control speed select"
8.0.5:2,Speed selection,R,,"Read as 4'b0011, writes ignored: This indicates 100 Gbps is the only valid selection"
8.0.1,PMA remote loopback,RW,0=disable; 1=enable,Enable PMA remote loopback mode. Remote Loopback mode sends 28G serial data received on a lane back out on the same lane using the Tx datapath. Transmitted data is a bit serial copy of received data.  
8.0.0,PMA local loopback,RW,0=disable; 1=enable,Enable PMA local loopback mode. Local Loopback mode loops back 28G serial transmit data to the 28G serial receiver.
R8.1,PMA Status 1 ,16'h0002,,
8.1.15:8,Reserved,R,,
8.1.7,Fault,R,,
8.1.6:3,Reserved,R,,1=Fault condition detected; 0= Fault condition not detected;
8.1.2,Receive link status,R,,1= PMA/PMD receive link up; 0= PMA/PMD receive  link down;
8.1.1,Low Power,R,,1= PMA/PMD supports low power mode; 0= PMA/PMD does not support low power mode;
8.1.0,Reserved,R,,
R8.2,PMA Device Identifier Lo ,16'h0210,,
8.2.15:0,OUI 3-18,R,,3rd through 18th bits of Inphi OUI
R8.3,PMA Device Identifier Hi ,16'h7411,,
